Latitude,Longitude,Location,I_number
23.777176,90.339452,Dhaka,1174
23.8105,90.3372,Dhaka(district),42
23.999941,90.420273,Gazipur,269
24.433123,90.786568,Kishoreganj,146
23.2393,90.187,Madaripur,25
23.8617,90.0003,Manikganj,7
23.622641,90.499794,Narayanganj,387
23.4981,90.4127,Munshiganj,33
24.1344,90.786,Narshingdi,135
23.7639,89.6467,Rajbari,8
24.3917,89.9948,Tangail,10
23.2423,90.4348,Shariatpur,8
23.0488,89.8879,Gopalgonj,30
23.5424,89.6309,Faridpur,6
22.3569,91.7832,Chattogram,43
21.4272,92.0058,Cox's Bazar,1
23.4607,91.1809,Cumilla,21
23.9608,91.1115,B. Baria,11
90.8282,90.8282,Laxmipur,25
21.8311,92.3686,Bandarban,1
22.8724,91.0921,Noakhali,4
23.0159,91.3976,Feni,2
23.2513,90.8518,Chandpur,10
24.3095,91.7315,MouloviBazar,2
25.0715,91.3992,Shunamgonj,1
24.4771,91.4507,Hobigonj,1
24.8949,91.8687,Sylhet,4
25.7439,89.2752,Rangpur,6
25.329,89.5415,Gaibandha,13
25.8483,88.9414,Nilphamari,9
25.9923,89.2847,Lalmonirhat,2
25.8072,89.6295,Kurigram,2
25.6279,88.6332,Dinajpur,11
26.2709,88.5952,Panchagar,1
26.0418,88.4283,Thakurgaon,6
22.8456,89.5403,Khulna,3
23.1778,89.1801,Jessore,1
22.6602,89.7895,Bagerhat,2
23.1657,89.499,Narail,2
23.6161,88.8263,Chuadanga,1
24.7471,90.4203,Mymensingh,33
25.0831,89.7853,Jamalpur,21
24.8103,90.8656,Netrokona,14
25.0746,90.1495,Sherpur,13
22.0953,90.1121,Barguna,12
22.701,90.3535,Barishal,24
22.2249,90.4548,Patuakhali,2
22.5791,89.7959,Pirojpur,5
22.6406,90.1987,Jhalokathi,4
25.0947,89.0945,Joypurhat,2
24.0129,89.2591,Pabna,2
24.8481,89.373,Bogra,1
24.3745,88.6042,Rajshahi,5
24.7936,88.9318,Naogaon,1
24.3141,89.5757,Sirajganj,1
